"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"com.symatiq.Scout$2.getPreferredSize ()","1,605 ms (0.6%)","890 ms (60.2%)","1,605 ms (0.2%)","890 ms (42.7%)","62"
"plugin.AppiumPlugin.byteArrayToBufferedImage (byte[])","355 ms (0.1%)","124 ms (8.4%)","355 ms (0%)","124 ms (6%)","14"
"com.symatiq.utils.QuickSort.partition (com.symatiq.widgets.Widget[], int, int)","302 ms (0.1%)","69.4 ms (4.7%)","1,033 ms (0.1%)","62.4 ms (3%)","426,716"
"plugin.AugmentState.drawRectangle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, boolean, java.awt.BasicStroke, java.awt.BasicStroke)","250 ms (0.1%)","61.7 ms (4.2%)","252 ms (0%)","56.5 ms (2.7%)","1,410"
"com.symatiq.widgets.Widget.compareTo (Object)","523 ms (0.2%)","52.3 ms (3.5%)","717 ms (0.1%)","52.1 ms (2.5%)","7,847,290"
"org.openqa.selenium.remote.http.HttpMessage.getHeader (String)","14.3 ms (0%)","31.2 ms (2.1%)","18.1 ms (0%)","31.2 ms (1.5%)","5,500"
"com.symatiq.Scout$2.paintComponent (java.awt.Graphics)","409 ms (0.1%)","26.4 ms (1.8%)","2,484 ms (0.2%)","0.0 ms (0%)","2,705"
"com.symatiq.utils.QuickSort.quicksort (com.symatiq.widgets.Widget[], int, int)","60.7 ms (0%)","25.0 ms (1.7%)","1,094 ms (0.1%)","0.0 ms (0%)","864,234"
"com.symatiq.states.StateController.getRecommendedWidget ()","157 ms (0.1%)","21.8 ms (1.5%)","157 ms (0%)","21.8 ms (1%)","7,847,290"
"org.openqa.selenium.remote.http.jdk.JdkHttpMessages.createRequest (org.openqa.selenium.remote.http.HttpRequest, org.openqa.selenium.remote.http.HttpMethod, java.net.URI)","16.0 ms (0%)","15.6 ms (1.1%)","33.4 ms (0%)","15.6 ms (0.7%)","1,100"
"com.symatiq.extension.PluginThreads.startCallMethodThread (String, String)","3.63 ms (0%)","15.6 ms (1.1%)","3.63 ms (0%)","15.6 ms (0.7%)","82"
"com.symatiq.Scout$RemoteKeyListener.keyPressed (java.awt.event.KeyEvent)","0.306 ms (0%)","15.6 ms (1.1%)","2.8 ms (0%)","15.5 ms (0.7%)","10"
"org.openqa.selenium.json.MapCoercer.lambda$apply$1 (java.lang.reflect.Type, java.lang.reflect.Type, org.openqa.selenium.json.JsonInput, org.openqa.selenium.json.PropertySetting)","10.1 ms (0%)","15.6 ms (1.1%)","834 ms (0.1%)","15.5 ms (0.7%)","2,091"
"plugin.StateGraph.drawCircle (java.awt.Graphics2D, int, int, int, int, java.awt.Color, java.awt.BasicStroke, java.awt.BasicStroke, boolean)","154 ms (0.1%)","15.3 ms (1%)","154 ms (0%)","15.3 ms (0.7%)","10,874"
"com.symatiq.widgets.Widget.getArea ()","37.1 ms (0%)","15.2 ms (1%)","37.1 ms (0%)","15.2 ms (0.7%)","1,807,040"
"com.symatiq.states.AppState.coveredPercent (String)","0.635 ms (0%)","15.0 ms (1%)","7.94 ms (0%)","8.1 ms (0.4%)","2,705"
"com.symatiq.states.StateController.getScaledX (int)","1.9 ms (0%)","15.0 ms (1%)","2.56 ms (0%)","13.9 ms (0.7%)","4,640"
"com.symatiq.states.AppState.getLeafCount (java.util.IdentityHashMap)","3.10 ms (0%)","14.6 ms (1%)","10.5 ms (0%)","11.3 ms (0.5%)","18,681"
"org.openqa.selenium.json.JsonTypeCoercer.coerce (org.openqa.selenium.json.JsonInput, java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting)","3.71 ms (0%)","14.3 ms (1%)","840 ms (0.1%)","15.4 ms (0.7%)","14,812"
"plugin.StateGraph.drawGraph (java.awt.Graphics2D, com.symatiq.states.AppState, int, int)","10.6 ms (0%)","12.0 ms (0.8%)","228 ms (0%)","10.2 ms (0.5%)","10,874"
"org.openqa.selenium.json.JsonInput.readString ()","287 ms (0.1%)","11.9 ms (0.8%)","782 ms (0.1%)","0.405 ms (0%)","6,484"
"org.openqa.selenium.remote.ElementLocation$ElementFinder.massage (org.openqa.selenium.remote.RemoteWebDriver, org.openqa.selenium.SearchContext, org.openqa.selenium.WebElement, org.openqa.selenium.By)","0.160 ms (0%)","0.0 ms (0%)","1.93 ms (0%)","0.0 ms (0%)","991"
"org.openqa.selenium.net.Urls.urlEncode (String)","0.950 ms (0%)","0.0 ms (0%)","0.950 ms (0%)","0.0 ms (0%)","1,948"
"com.symatiq.extension.PluginThreads$CallMethodThread.run ()","0.021 ms (0%)","0.0 ms (0%)","1.56 ms (0%)","0.0 ms (0%)","37"
"org.openqa.selenium.json.CollectionCoercer.lambda$apply$0 (java.lang.reflect.Type, org.openqa.selenium.json.PropertySetting, org.openqa.selenium.json.JsonInput)","0.139 ms (0%)","0.0 ms (0%)","34.6 ms (0%)","0.0 ms (0%)","991"
